fault_id,trial,split,fault_name,target_service,severity
F1,1,train,OOMKilled,cartservice,critical
F1,2,train,OOMKilled,recommendationservice,high
F1,3,train,OOMKilled,checkoutservice,critical
F1,5,train,OOMKilled,frontend,critical
F10,1,train,ResourceQuota,boutique,critical
F10,2,train,ResourceQuota,boutique,high
F10,3,train,ResourceQuota,boutique,critical
F10,5,train,ResourceQuota,boutique,critical
F11,1,train,NetworkDelay,worker01,high
F11,2,train,NetworkDelay,worker02,high
F11,3,train,NetworkDelay,worker01,critical
F11,5,train,NetworkDelay,worker02,critical
F12,1,train,NetworkLoss,worker01,medium
F12,3,train,NetworkLoss,worker03,critical
F12,4,train,NetworkLoss,worker01,medium
F12,5,train,NetworkLoss,worker02,critical
F2,1,train,CrashLoopBackOff,paymentservice,critical
F2,2,train,CrashLoopBackOff,emailservice,medium
F2,3,train,CrashLoopBackOff,currencyservice,high
F2,4,train,CrashLoopBackOff,shippingservice,high
F3,1,train,ImagePullBackOff,frontend,critical
F3,2,train,ImagePullBackOff,cartservice,high
F3,4,train,ImagePullBackOff,checkoutservice,critical
F3,5,train,ImagePullBackOff,loadgenerator,low
F4,1,train,NodeNotReady,worker01,critical
F4,3,train,NodeNotReady,worker03,critical
F4,4,train,NodeNotReady,worker01,high
F4,5,train,NodeNotReady,worker02,critical
F5,1,train,PVCPending,redis-cart,high
F5,2,train,PVCPending,prometheus,high
F5,3,train,PVCPending,loki,high
F5,4,train,PVCPending,redis-cart,medium
F6,1,train,NetworkPolicy,frontend,critical
F6,2,train,NetworkPolicy,cartservice,high
F6,3,train,NetworkPolicy,checkoutservice,critical
F6,4,train,NetworkPolicy,productcatalogservice,high
F7,1,train,CPUThrottle,frontend,high
F7,2,train,CPUThrottle,checkoutservice,critical
F7,3,train,CPUThrottle,productcatalogservice,high
F7,4,train,CPUThrottle,adservice,low
F8,1,train,ServiceEndpoint,frontend,critical
F8,2,train,ServiceEndpoint,cartservice,high
F8,3,train,ServiceEndpoint,paymentservice,critical
F8,5,train,ServiceEndpoint,emailservice,medium
F9,1,train,SecretConfigMap,cartservice,high
F9,2,train,SecretConfigMap,frontend,high
F9,4,train,SecretConfigMap,checkoutservice,high
F9,5,train,SecretConfigMap,emailservice,medium
F1,4,test,OOMKilled,productcatalogservice,high
F10,4,test,ResourceQuota,boutique,high
F11,4,test,NetworkDelay,worker03,medium
F12,2,test,NetworkLoss,worker02,high
F2,5,test,CrashLoopBackOff,adservice,low
F3,3,test,ImagePullBackOff,productcatalogservice,high
F4,2,test,NodeNotReady,worker02,critical
F5,5,test,PVCPending,grafana,medium
F6,5,test,NetworkPolicy,redis-cart,high
F7,5,test,CPUThrottle,currencyservice,medium
F8,4,test,ServiceEndpoint,shippingservice,high
F9,3,test,SecretConfigMap,paymentservice,critical
