fault_id,trial,raw_context_path,matched_rule,predicted_fault_name,true_fault_name,correct
F1,4,results/raw_v2_2/F1_t4_C1_A_20260620_145951.json,no_rule_matched,Unknown,OOMKilled,0
F10,4,results/raw_v2_2/F10_t4_C1_A_20260621_234258.json,quota_exceeded,ResourceQuota,ResourceQuota,1
F11,4,results/raw_v2_2/F11_t4_C1_A_20260622_001458.json,no_rule_matched,Unknown,NetworkDelay,0
F12,2,results/raw_v2_2/F12_t2_C1_A_20260622_003437.json,no_rule_matched,Unknown,NetworkLoss,0
F2,5,results/raw_v2_2/F2_t5_C1_A_20260620_155618.json,crash_loop_or_container_error,CrashLoopBackOff,CrashLoopBackOff,1
F3,3,results/raw_v2_2/F3_t3_C1_A_20260620_162959.json,image_pull_error,ImagePullBackOff,ImagePullBackOff,1
F4,2,results/raw_v2_2/F4_t2_C1_A_20260620_171616.json,node_not_ready,NodeNotReady,NodeNotReady,1
F5,5,results/raw_v2_2/F5_t5_C1_A_20260620_182641.json,no_rule_matched,Unknown,PVCPending,0
F6,5,results/raw_v2_2/F6_t5_C1_A_20260620_191028.json,network_policy_block,NetworkPolicy,NetworkPolicy,1
F7,5,results/raw_v2_2/F7_t5_C1_A_20260620_200019.json,high_cpu_throttling,CPUThrottle,CPUThrottle,1
F8,4,results/raw_v2_2/F8_t4_C1_A_20260620_204512.json,zero_endpoints_or_service_unavailable,ServiceEndpoint,ServiceEndpoint,1
F9,3,results/raw_v2_2/F9_t3_C1_A_20260621_230004.json,secret_or_configmap_missing,SecretConfigMap,SecretConfigMap,1
