/Users/yumunsang/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-04-27 19:44:35,550 [INFO] experiment.v8: Loaded ground truth: 60 entries
2026-04-27 19:44:35,550 [INFO] experiment.v8: v8 experiment: 1 trials (['F2'] × [1])
2026-04-27 19:44:35,550 [INFO] experiment.v8: Model: gpt-4o-mini (openai)
2026-04-27 19:44:35,550 [INFO] experiments.shared.runner: ============================================================
2026-04-27 19:44:35,550 [INFO] experiments.shared.runner: Starting F2 trial 1
2026-04-27 19:44:35,550 [INFO] experiments.shared.runner: ============================================================
2026-04-27 19:44:35,550 [INFO] experiments.shared.runner: [DRY RUN] Skipping injection
2026-04-27 19:44:35,550 [INFO] experiments.shared.runner: Collecting signals...
2026-04-27 19:44:35,550 [INFO] src.collector: Collecting signals (window=5m)...
2026-04-27 19:44:36,921 [INFO] src.collector: Signal collection complete
2026-04-27 19:44:38,219 [INFO] experiments.shared.runner: [DRY RUN] Signal collection complete.
2026-04-27 19:44:38,219 [INFO] experiments.shared.runner: [DRY RUN] System A context length: 4835 chars
2026-04-27 19:44:38,219 [INFO] experiments.shared.runner: [DRY RUN] System B context length: 5439 chars
2026-04-27 19:44:38,219 [INFO] experiments.shared.runner:   metrics: 0/14 fields populated
2026-04-27 19:44:38,219 [INFO] experiments.shared.runner:   logs: 1/2 fields populated
2026-04-27 19:44:38,219 [INFO] experiments.shared.runner:   kubectl: 4/5 fields populated
2026-04-27 19:44:38,219 [INFO] experiments.shared.runner:   gitops: 3/3 fields populated
2026-04-27 19:44:38,219 [INFO] experiment.v8: Progress: 1/1
2026-04-27 19:44:38,219 [INFO] experiment.v8: ============================================================
2026-04-27 19:44:38,219 [INFO] experiment.v8: v8 experiment complete! 1/1 trials
2026-04-27 19:44:38,219 [INFO] experiment.v8: Results: /Users/yumunsang/Documents/thesis-experiment/results/experiment_results_v8.csv
